date,avg_pairwise_corr,avg_corr_equity,avg_corr_cross,avg_corr_crypto
2022-01-31,0.4058205908669221,0.454160888296436,0.27326648339732346,0.702221792877919
2022-02-01,0.4057465164675755,0.45427413960498786,0.2728697523767322,0.7004311680207902
2022-02-02,0.39778041860208496,0.4455451913387733,0.2662113745665158,0.6995490333515325
2022-02-03,0.39552825037962364,0.44787082779046916,0.2531228561728227,0.6996189541020449
2022-02-04,0.38477893502749294,0.43152565705336066,0.2538718940243621,0.7122492791690807
2022-02-07,0.38282803930945875,0.4319934556374308,0.24600332577743333,0.7144091708108221
2022-02-08,0.38463075616830456,0.4334947156092817,0.24882740016503851,0.7114425157830934
2022-02-09,0.3873156309554883,0.43819717356485666,0.24831446724771616,0.6914790952441817
2022-02-10,0.3938951123576041,0.4412708037887456,0.26348603227748685,0.6918821134694103
2022-02-11,0.40418973766009386,0.45200951013139395,0.27297763280053455,0.6986792740579802
2022-02-14,0.40455094931884944,0.4515777505012651,0.27394501611896277,0.7177019059326003
2022-02-15,0.41221906528897206,0.4565900605524424,0.2877844245053584,0.7257538428217146
2022-02-16,0.41268160703812085,0.45690050955797834,0.2885487346143451,0.7270131051997458
2022-02-17,0.42686436901960506,0.46760875513265954,0.30978603598440985,0.7569858505906275
2022-02-18,0.42839892654987893,0.4686273227760678,0.312226527764556,0.7629910404131105
2022-02-22,0.4290840256498583,0.4688000194519587,0.313811348995977,0.7681143923845619
2022-02-23,0.43069584213877615,0.47116980367998207,0.31358467905243137,0.7707746344917413
2022-02-24,0.4433053445065883,0.4874108029603768,0.3185036385763994,0.7716398875768227
2022-02-25,0.44589786443707863,0.48848866817358516,0.3246332506490124,0.7741889404803443
2022-02-28,0.444858150467248,0.48798717386971974,0.32212465199456336,0.7763448084710113
2022-03-01,0.44551154968891554,0.4885078060717553,0.3233637688235359,0.7728592892702197
2022-03-02,0.44782257561956174,0.4901550127413021,0.32613148202691816,0.7915536802483029
2022-03-03,0.4593948222631646,0.5036432556377003,0.33365616841770984,0.7967794618362366
2022-03-04,0.46034591926677665,0.5044593589569533,0.33496838729445805,0.7970385096953784
2022-03-07,0.4718786450520052,0.5165711124938,0.3458401990781305,0.7982189741973019
2022-03-08,0.47675031555477204,0.5217819621341879,0.3503809240407653,0.7961835579853203
2022-03-09,0.48810455762018673,0.5315522094168075,0.36606104052859245,0.7980895011123782
2022-03-10,0.4871459711379505,0.5302352843657839,0.3658470804114006,0.7985033690620308
2022-03-11,0.49161101376631433,0.5356292857122443,0.3683022194924511,0.8006034097667148
