date,ticker,daily_return,vol30,vol90,drawdown,var95,var99,breach95,breach99
2021-09-16,AAPL,-0.0016103869274497,,,-0.0016103869274497,,,0,0
2021-09-16,MSFT,0.0013123191192898,,,0.0,,,0,0
2021-09-16,NVDA,-0.004431323109714,,,-0.004431323109714,,,0,0
2021-09-16,GOOGL,-0.0056741009145476,,,-0.0056741009145476,,,0,0
2021-09-16,AMZN,0.0035819053548502,,,0.0,,,0,0
2021-09-16,META,-0.0023000257452051,,,-0.0023000257452051,,,0,0
2021-09-16,TSLA,0.0015347617076681,,,0.0,,,0,0
2021-09-16,AMD,0.0058712382153487,,,0.0,,,0,0
2021-09-16,NFLX,0.0062278515774019,,,0.0,,,0,0
2021-09-16,CRM,0.0163959897240404,,,0.0,,,0,0
2021-09-16,ORCL,-0.0054715494961915,,,-0.0054715494961915,,,0,0
2021-09-16,ADBE,0.0060960370265905,,,0.0,,,0,0
2021-09-16,AVGO,-0.0046885265091307,,,-0.0046885265091307,,,0,0
2021-09-16,QCOM,0.0011572851342236,,,0.0,,,0,0
2021-09-16,INTC,-0.0052612715234177,,,-0.0052612715234177,,,0,0
2021-09-16,BTC-USD,-0.0081572867261351,,,-0.0081572867261351,,,0,0
2021-09-16,ETH-USD,-0.0121671792881213,,,-0.0121671792881213,,,0,0
2021-09-16,SOL-USD,-0.0417510994765302,,,-0.0417510994765302,,,0,0
2021-09-17,AAPL,-0.0183477113358183,,,-0.0199285513487843,,,0,0
2021-09-17,MSFT,-0.0175281703295552,,,-0.0175281703295552,,,0,0
2021-09-17,NVDA,-0.0153764699407247,,,-0.0197396549438446,,,0,0
2021-09-17,GOOGL,-0.0195668519807656,,,-0.0251299286025944,,,0,0
2021-09-17,AMZN,-0.0073733198661622,,,-0.0073733198661622,,,0,0
2021-09-17,META,-0.0223555590581459,,,-0.0246041664419688,,,0,0
2021-09-17,TSLA,0.0033025333532406,,,0.0,,,0,0
2021-09-17,AMD,-0.0220297866728802,,,-0.0220297866728802,,,0,0
2021-09-17,NFLX,0.0048593323102703,,,0.0,,,0,0
2021-09-17,CRM,0.0006528436318471,,,0.0,,,0,0
2021-09-17,ORCL,-0.0098565965431148,,,-0.0152742151834568,,,0,0
2021-09-17,ADBE,-0.0159823264075545,,,-0.0159823264075545,,,0,0
2021-09-17,AVGO,-0.0026610549406259,,,-0.0073371050231253,,,0,0
2021-09-17,QCOM,-0.0346818013481484,,,-0.0346818013481484,,,0,0
2021-09-17,INTC,-0.0103956275593921,,,-0.0156022048635635,,,0,0
2021-09-17,BTC-USD,-0.0107953867308016,,,-0.018864612392054,,,0,0
2021-09-17,ETH-USD,-0.0483735192121642,,,-0.0599521292192338,,,0,0
2021-09-17,SOL-USD,-0.0320119809377795,,,-0.0724265450137356,,,0,0
2021-09-20,AAPL,-0.0213613608703191,,,-0.0408642112421194,,,0,0
2021-09-20,MSFT,-0.018574896377848,,,-0.0357774827598385,,,0,0
2021-09-20,NVDA,-0.0359358809890693,,,-0.0549661740420865,,,0,0
2021-09-20,GOOGL,-0.0147760131021422,,,-0.0395346215504488,,,0,0
2021-09-20,AMZN,-0.0308417443843135,,,-0.0379876582038999,,,0,0
2021-09-20,META,-0.0247313479827571,,,-0.0487270202226239,,,0,0
2021-09-20,TSLA,-0.0386048433059422,,,-0.0386048433059422,,,0,0
2021-09-20,AMD,-0.0224296713829907,,,-0.043965337180161,,,0,0
2021-09-20,NFLX,-0.0236192767163273,,,-0.0236192767163273,,,0,0
2021-09-20,CRM,-0.0088665055661658,,,-0.0088665055661658,,,0,0
2021-09-20,ORCL,-0.0025466607540277,,,-0.0177819776931282,,,0,0
2021-09-20,ADBE,-0.0201534085610369,,,-0.0358136366147442,,,0,0
2021-09-20,AVGO,-0.0220947584251426,,,-0.029269751885242,,,0,0
2021-09-20,QCOM,-0.0062878262592953,,,-0.0407515544662072,,,0,0
2021-09-20,INTC,-0.0235902076724161,,,-0.0388243532831006,,,0,0
2021-09-20,BTC-USD,-0.093588975979062,,,-0.1106880686151018,,,0,0
2021-09-20,ETH-USD,-0.1293336441478217,,,-0.181531946020711,,,0,0
2021-09-20,SOL-USD,-0.1047380043067784,,,-0.1695787375369405,,,0,0
2021-09-21,AAPL,0.0034281500335231,,,-0.0375761498557359,,,0,0
2021-09-21,MSFT,0.001699144279996,,,-0.0341391295850266,,,0,0
2021-09-21,NVDA,0.0062992979063498,,,-0.0490131244408001,,,0,0
2021-09-21,GOOGL,0.0022596366858662,,,-0.0373643187457998,,,0,0
2021-09-21,AMZN,-0.0036057473697842,,,-0.0414564316750311,,,0,0
2021-09-21,META,0.005004277696734,,,-0.0439665860664183,,,0,0
2021-09-21,TSLA,0.0126135310896808,,,-0.0264782556075131,,,0,0
2021-09-21,AMD,0.0125061211708592,,,-0.0320090518433944,,,0,0
2021-09-21,NFLX,-0.0039796342642459,,,-0.0275049148976562,,,0,0
2021-09-21,CRM,-0.0009680844137867,,,-0.0098260064541091,,,0,0
2021-09-21,ORCL,0.0087035981344305,,,-0.0092331467465741,,,0,0
2021-09-21,ADBE,0.0071730991886755,,,-0.0288974321938133,,,0,0
2021-09-21,AVGO,-0.0004682889222402,,,-0.0297243341069177,,,0,0
2021-09-21,QCOM,-0.0076074358104183,,,-0.0480489754418491,,,0,0
2021-09-21,INTC,-0.0020762885966102,,,-0.0408200313177183,,,0,0
2021-09-21,BTC-USD,-0.0501852067461991,,,-0.1553183717535146,,,0,0
2021-09-21,ETH-USD,-0.0657528520746265,,,-0.2353485549018186,,,0,0
2021-09-21,SOL-USD,-0.0619374139390852,,,-0.2210128830139327,,,0,0
2021-09-22,AAPL,0.0168724458927649,,,-0.0213377055182704,,,0,0
2021-09-22,MSFT,0.0128219551496913,,,-0.0217549048237238,,,0,0
2021-09-22,NVDA,0.032712017619199,,,-0.0179044250118807,,,0,0
2021-09-22,GOOGL,0.0089943482994654,,,-0.0287060381431064,,,0,0
2021-09-22,AMZN,0.010892348194075,,,-0.0310156413696445,,,0,0
2021-09-22,META,-0.0399185837674771,,,-0.0821300859850332,,,0,0
